timestamp,total_bytes,throughput_mbps,dst_ip_entropy,avg_fan_out
1769864493740,29443541,5.616,4.201,1.92
1769864553729,9114524,1.738,4.345,1.94
1769864613738,11430894,2.18,4.277,1.98
1769864673737,8997680,1.716,4.353,2.0
1769864733728,14554525,2.776,4.203,2.04
1769864793738,2696633,0.514,4.454,1.92
1769864853725,19653005,3.749,4.108,1.94
1769864913742,9682243,1.847,4.072,1.88
1769864918652,7978468,1.522,4.118,1.93
1769864918700,7978468,1.522,4.118,1.93
1769864923720,5768938,1.1,4.11,1.88
1769864928716,5878865,1.121,4.084,1.91
1769864933735,5887222,1.123,4.117,1.92
1769864938725,5693271,1.086,4.214,1.95
1769864943734,2004333,0.382,4.216,2.0
1769864948724,1935364,0.369,4.23,1.98
1769864973729,2678871,0.511,4.067,1.94
1769865033717,3264477,0.623,4.136,1.95
1769865093729,7237248,1.38,4.149,2.0
1769865153735,2193898,0.418,4.2,1.98
1769865213730,2107906,0.402,4.324,2.0
1769865254950,1600557,0.305,4.14,1.96
1769865258672,1635326,0.312,4.078,1.9
1769865261770,8493520,1.62,4.024,1.79
1769865261839,8493520,1.62,4.024,1.79
1769865264206,8493520,1.62,4.024,1.79
1769865264282,8493520,1.62,4.024,1.79
1769865269210,19421103,3.704,4.189,1.87
1769865274185,25613367,4.885,4.205,1.87
1769865274234,25613367,4.885,4.205,1.87
1769865367867,41454290,7.907,4.294,1.98
1769865367924,41454290,7.907,4.294,1.98
1769865372859,34091482,6.502,4.316,1.9
1769865378716,20459566,3.902,4.264,1.89
1769865383739,20591365,3.927,4.207,1.88
1769865388732,20563046,3.922,4.144,1.96
1769865393742,24365276,4.647,4.131,1.94
1769865398736,18763563,3.579,4.133,1.96
1769865403724,18746659,3.576,4.194,2.02
1769865408713,18744744,3.575,4.186,2.0
1769865413727,7205576,1.374,4.251,1.98
1769865418739,6703302,1.279,4.244,2.02
1769865423758,6449307,1.23,4.185,1.94
1769865428732,10429862,1.989,4.105,1.92
1769865433728,10439868,1.991,4.111,1.9
1769865453734,4508495,0.86,4.119,2.0
1769865513725,1749415,0.334,4.305,2.02
1769865573783,707916,0.135,4.149,1.85
1769865633726,19001382,3.624,4.178,2.06
1769865693733,10537474,2.01,4.284,2.11
1769865753726,13387918,2.554,4.014,1.98
1769865813730,2839831,0.542,4.2,1.98
1769865873734,2969508,0.566,3.989,1.96
1769865933744,1389634,0.265,4.365,2.04
1769865990666,2270557,0.433,4.226,2.07
1769865992772,2270557,0.433,4.226,2.07
1769865992836,2270557,0.433,4.226,2.07
1769865997787,1889118,0.36,4.132,2.02
1769866002788,1675029,0.319,4.144,2.05
1769866003251,1675029,0.319,4.144,2.05
1769866003301,1675029,0.319,4.144,2.05
1769866008257,1183276,0.226,4.184,2.13
1769866063050,1355220,0.258,4.378,2.0
1769866063107,1355220,0.258,4.378,2.0
1769866286363,870337,0.166,4.084,1.82
1769866286421,870337,0.166,4.084,1.82
1769866292817,852908,0.163,4.06,1.78
1769866292861,852908,0.163,4.06,1.78
1769866299270,857439,0.164,4.053,1.8
1769866299316,857439,0.164,4.053,1.8
1769866303123,860982,0.164,4.057,1.78
1769866303173,860982,0.164,4.057,1.78
1769866308122,794925,0.152,4.043,1.78
1769866313123,779380,0.149,4.033,1.77
1769866318121,664679,0.127,3.997,1.76
1769866323124,664857,0.127,3.964,1.81
1769866328109,666434,0.127,3.983,1.88
1769866333134,644468,0.123,3.968,1.86
1769866338124,577178,0.11,4.071,1.91
1769866343146,509654,0.097,4.136,1.91
1769866348121,375933,0.072,4.149,1.98
1769866353113,262214,0.05,4.221,2.0
1769866358126,299673,0.057,4.215,1.98
1769866363120,325175,0.062,4.25,2.0
1769866368114,302524,0.058,4.344,2.08
1769866373134,367955,0.07,4.356,2.11
1769866378741,386835,0.074,4.408,2.17
1769866383724,395912,0.076,4.353,2.16
1769866388725,394673,0.075,4.321,2.07
1769866393755,401883,0.077,4.29,2.07
1769866398730,398708,0.076,4.243,2.0
1769866403720,405887,0.077,4.22,2.05
1769866408119,278608,0.053,4.256,2.06
1769866412191,266866,0.051,4.233,2.04
1769866412247,266866,0.051,4.233,2.04
1769866417200,200011,0.038,4.231,2.02
1769866422198,155848,0.03,4.22,2.06
1769866425594,155848,0.03,4.22,2.06
1769866425650,155848,0.03,4.22,2.06
1769866430598,140044,0.027,4.146,1.96
1770111239455,8935453,1.704,4.176,2.0
1770111239547,8935453,1.704,4.176,2.0
1770111244604,5619438,1.072,4.198,1.93
1770111249582,8885209,1.695,4.138,1.95
1770111254584,8897249,1.697,4.205,1.95
1770111259584,8871596,1.692,4.278,1.93
1770111264444,3537580,0.675,4.253,1.93
1770111269411,7903449,1.507,4.205,1.93
1770111271974,7866686,1.5,4.24,1.95
1770111272015,7866686,1.5,4.24,1.95
1770111273668,7866686,1.5,4.24,1.95
1770111273717,7866686,1.5,4.24,1.95
1770111278693,7835947,1.495,4.203,1.91
1770111283727,7799414,1.488,4.186,1.86
1770111288686,12135858,2.315,4.228,1.87
1770111294594,12234892,2.334,4.159,1.91
1770111299628,9073269,1.731,4.169,1.87
1770111304625,11782952,2.247,4.225,1.89
1770111309587,16955453,3.234,4.185,1.89
1770111314593,24339018,4.642,4.137,1.92
1770111318688,24544866,4.682,4.092,1.89
1770111323684,25354207,4.836,3.984,1.98
1770111326780,25354207,4.836,3.984,1.98
1770111326842,25354207,4.836,3.984,1.98
1770111331783,20981084,4.002,3.889,1.9
1770111344438,30655227,5.847,3.936,1.98
1770111344478,30655227,5.847,3.936,1.98
1770111349453,22227890,4.24,3.961,1.96
1770111350350,22227890,4.24,3.961,1.96
1770111350394,22227890,4.24,3.961,1.96
1770111359000,19398286,3.7,4.038,2.02
1770111359046,19398286,3.7,4.038,2.02
1770111360009,19398286,3.7,4.038,2.02
1770111360066,19398286,3.7,4.038,2.02
1770111360951,19398286,3.7,4.038,2.02
1770111361030,19398286,3.7,4.038,2.02
1770111365908,18956819,3.616,4.023,2.06
1770111365981,18956819,3.616,4.023,2.06
1770111368822,18979797,3.62,4.03,2.04
1770111368881,18979797,3.62,4.03,2.04
1770111369547,18979797,3.62,4.03,2.04
1770111369587,18979797,3.62,4.03,2.04
1770111370977,18979797,3.62,4.03,2.04
1770111371034,18979797,3.62,4.03,2.04
1770111371458,18979797,3.62,4.03,2.04
1770111371514,18979797,3.62,4.03,2.04
1770111373436,18057545,3.444,4.057,2.0
1770111373489,18057545,3.444,4.057,2.0
1770111376597,18057545,3.444,4.057,2.0
1770111376655,18057545,3.444,4.057,2.0
1770111381607,10215295,1.948,4.09,2.0
1770111386609,7954995,1.517,4.069,2.0
1770111389725,7945162,1.515,4.095,2.0
1770111389780,7945162,1.515,4.095,2.0
1770111509113,18381319,3.506,4.158,1.98
1770111509165,18381319,3.506,4.158,1.98
1770111511243,18381319,3.506,4.158,1.98
1770111511304,18381319,3.506,4.158,1.98
1770111516248,18819619,3.59,4.196,2.0
1770111521290,19391105,3.699,4.167,1.98
1770111526257,25887791,4.938,4.126,1.89
1770111531247,16882495,3.22,4.169,1.98
1770111536260,17009006,3.244,4.126,1.98
1770111538279,17009006,3.244,4.126,1.98
1770111538345,17009006,3.244,4.126,1.98
1770111543282,17220030,3.284,4.102,1.93
1770111548595,13940158,2.659,4.107,2.05
1770111553579,12593275,2.402,4.117,2.07
1770111558574,12751933,2.432,4.099,2.05
1770111563577,12799481,2.441,4.041,2.08
1770111568593,12581041,2.4,4.072,2.07
1770111573591,14110503,2.691,4.044,2.05
1770111578590,8151727,1.555,4.117,2.07
1770111583580,8132934,1.551,4.094,2.05
1770111588585,8482506,1.618,4.048,2.04
1770111593583,8275306,1.578,4.035,2.04
1770111598594,7931397,1.513,3.906,2.05
1770111603608,7976534,1.521,3.807,1.95
1770111608337,4314570,0.823,3.81,1.93
1770111610501,6829513,1.303,3.877,1.85
1770111610560,6829513,1.303,3.877,1.85
1770111614173,6829513,1.303,3.877,1.85
1770111614239,6829513,1.303,3.877,1.85
1770111619191,9119758,1.739,3.95,1.8
1770111624586,10955054,2.09,3.966,1.84
1770111629593,10580377,2.018,3.927,1.82
1770111634590,13759569,2.624,4.004,1.83
1770111639582,13759113,2.624,4.042,1.81
1770111644575,17111864,3.264,4.051,1.85
1770111659047,27074863,5.164,4.078,1.85
1770111659096,27074863,5.164,4.078,1.85
1770111664588,26891036,5.129,4.066,1.86
1770111669597,23937395,4.566,4.05,1.88
1770111674595,23927869,4.564,4.045,1.88
1770111679588,21076344,4.02,4.031,1.78
1770111684586,27306747,5.208,4.007,1.83
1770111689578,23768602,4.534,3.967,1.82
1770111694572,24422680,4.658,3.995,1.82
1770111699584,24584908,4.689,4.011,1.84
1770111704596,26683030,5.089,3.99,1.82
1770111709577,26929964,5.136,4.009,1.84
1770111714590,26927402,5.136,4.021,1.9
1770111719595,18866747,3.599,4.134,1.98
1770111752590,13769312,2.626,4.196,1.98
1770111780297,13425419,2.561,4.231,1.87
1770111784044,13497111,2.574,4.233,1.87
1770111785618,8401770,1.603,4.253,1.91
1770111785683,8401770,1.603,4.253,1.91
1770111790623,9812924,1.872,4.269,1.95
1770111796593,12114190,2.311,4.238,1.95
1770111801583,12279749,2.342,4.15,1.95
1770111806574,9912427,1.891,4.163,1.97
1770111810651,9997740,1.907,4.202,2.03
1770111816609,14592733,2.783,4.143,2.03
1770111821594,18195956,3.471,4.171,2.13
1770111826615,22417575,4.276,4.071,2.2
1770111831581,17834664,3.402,3.924,2.14
1770111836609,19868026,3.79,3.787,2.03
1770111841591,21024503,4.01,3.739,2.0
1770111846606,21959602,4.188,3.712,2.03
1770111851609,20160802,3.845,3.624,2.03
1770111856611,24425712,4.659,3.672,1.95
1770111861464,26546414,5.063,3.643,1.91
1770111865820,26546414,5.063,3.643,1.91
1770111870613,21793779,4.157,3.673,1.86
1770111875632,20610030,3.931,3.743,1.89
1770111884858,28705009,5.475,3.835,1.92
1770111884906,28705009,5.475,3.835,1.92
1770111889873,31405838,5.99,3.947,2.06
1770111895805,37158721,7.087,4.011,2.03
1770111895863,37158721,7.087,4.011,2.03
1770111896613,38632444,7.369,4.045,2.03
1770111896683,38632444,7.369,4.045,2.03
1770111896980,38632444,7.369,4.045,2.03
1770111901300,38632444,7.369,4.045,2.03
1770111901367,38632444,7.369,4.045,2.03
1770111906585,45605252,8.699,4.063,2.05
1770111911588,45058151,8.594,4.024,2.05
1770111916583,48678335,9.285,4.03,1.98
1770111921592,54087105,10.316,4.02,1.95
1770111926589,58336817,11.127,3.966,1.95
1770111931571,63081676,12.032,4.03,1.95
1770111936589,69548250,13.265,3.976,1.91
1770111941586,61590064,11.747,4.054,1.93
1770111946596,63447782,12.102,4.039,1.83
1770111951591,61622297,11.754,4.045,1.88
1770111956595,59988963,11.442,4.063,1.89
1770111961575,48611169,9.272,4.0,1.83
1770111992582,5606788,1.069,4.138,2.08
1770112020069,8708220,1.661,4.239,2.08
1770112021288,8708220,1.661,4.239,2.08
1770112023288,5173831,0.987,4.253,2.08
1770112023361,5173831,0.987,4.253,2.08
1770112028585,5034825,0.96,4.292,2.15
1770112031059,5034825,0.96,4.292,2.15
1770112031132,5034825,0.96,4.292,2.15
1770112036058,22885536,4.365,4.324,2.07
1770112038094,34102450,6.505,4.315,2.12
1770112038168,34102450,6.505,4.315,2.12
1770112042185,34102450,6.505,4.315,2.12
1770112042255,34102450,6.505,4.315,2.12
1770112047190,46322584,8.835,4.291,2.09
1770112049735,60476217,11.535,4.343,2.07
1770112049806,60476217,11.535,4.343,2.07
1770112056193,65786089,12.548,4.337,2.09
1770112056247,65786089,12.548,4.337,2.09
1770112061196,65797376,12.55,4.302,2.04
1770112066583,65799597,12.55,4.246,2.07
1770112071590,65541538,12.501,4.199,2.02
1770112076589,70610833,13.468,4.208,2.02
1770112081579,70607359,13.467,4.177,2.0
1770112086591,70573944,13.461,4.18,2.02
1770112091588,70553932,13.457,4.175,2.05
1770112096596,77697632,14.82,4.147,2.0
1770112101577,39921856,7.614,4.053,1.95
1770112106604,36571537,6.975,4.034,1.98
1770112111578,24327268,4.64,4.05,1.98
1770112116585,17178890,3.277,4.099,2.0
1770112121583,20805383,3.968,4.102,1.94
1770112133586,18469179,3.523,4.137,1.93
1770112135416,18469179,3.523,4.137,1.93
1770112135475,18469179,3.523,4.137,1.93
1770112140579,12563454,2.396,4.007,1.88
1770112145584,16806717,3.206,4.044,1.88
1770112150581,16951661,3.233,4.0,1.9
1770112155587,9267767,1.768,4.022,1.93
1770112160614,9281453,1.77,4.043,1.93
1770112165590,14994285,2.86,4.019,1.93
1770112170591,14988050,2.859,4.038,1.95
1770112175600,14997704,2.861,4.042,1.98
1770112180593,14811473,2.825,4.046,1.95
1770112185612,11237289,2.143,4.007,2.0
1770112190578,18253728,3.482,3.966,1.95
